issuer_code,official_listing_date,gics_industry_group,exempt_foreign,internet_address,registered_office_address,head_office_telephone,head_office_fax,share_registry,share_registry_telephone,,,,,,,,,,
ECX,22/4/15,Diversified Financials,No,http://www.eclipxgroup.com,"Level 32, 1 O'Connell Street, SYDNEY, NSW, AUSTRALIA, 2000",(02) 8973 7118,-,"LINK MARKET SERVICES LIMITED
                    LEVEL 12, 680 GEORGE STREET, SYDNEY, NSW, AUSTRALIA, 2000",1300 554 474,,,,,,,,,,
ESL,1/12/09,Real Estate,No,http://bmpcorp.com.au/,"Level 4, 100 Albert Road, SOUTH MELBOURNE, VIC, AUSTRALIA, 3205",396927222,390779233,"BOARDROOM PTY LIMITED
                    LEVEL 12, 225 GEORGE STREET, SYDNEY, NSW, AUSTRALIA, 2000",(02) 9290 9600,,,,,,,,,,
EOF,29/3/19,"Pharmaceuticals, Biotechnology & Life Sciences",No,http://www.ecofibre.com,"COMPANY MATTERS PTY LIMITED, Level 12, 680 George Street, SYDNEY, NSW, AUSTRALIA, 2000",07 3265 7630,-,"LINK MARKET SERVICES LIMITED
                    Level 21, 10 Eagle Street, BRISBANE, QLD, AUSTRALIA, 4000",1300 554 474,,,,,,,,,,
EGR,29/10/10,Materials,No,http://www.ecograf.com.au,"Level 1/18 Richardson Street, WEST PERTH, WA, AUSTRALIA, 6005",08 6424 9000,-,"LINK MARKET SERVICES LIMITED
                    LEVEL 4 CENTRAL PARK, 152 ST GEORGES TERRACE, PERTH, WA, AUSTRALIA, 6000",1300 554 474,,,,,,,,,,
ECP,14/8/14,Not Applic,No,http://www.barrackst.com,"Corporate Centre One, Level 12, 2 Corporate Court, BUNDALL, QLD, AUSTRALIA, 4217",(02) 8651 6800,286516899,"BOARDROOM PTY LIMITED
                    LEVEL 12, 225 GEORGE STREET, SYDNEY, NSW, AUSTRALIA, 2000",(02) 9290 9600,,,,,,,,,,
ECS,13/3/86,"Pharmaceuticals, Biotechnology & Life Sciences",No,https://ecsbotanics.com.au,"Suite 2, Level 1, 1 Altona Street, WEST PERTH, WA, AUSTRALIA, 6005",08 6559 -1792,08 6559 -1792,"COMPUTERSHARE INVESTOR SERVICES PTY LIMITED
                    Level 11, 172 St Georges Terrace, PERTH, WA, AUSTRALIA, 6000",1300 850 505,,,,,,,,,,
EDE,6/6/06,Energy,No,http://www.edeninnovations.com,"Level 15, 197 St George's Terrace, PERTH, WA, AUSTRALIA, 6000",(08) 9282 5889,(08) 9282 5866,"ADVANCED SHARE REGISTRY SERVICES
                    110 STIRLING HIGHWAY, NEDLANDS, WA, AUSTRALIA, 6009",(08) 9389 8033,,,,,,,,,,
EHX,4/1/13,Materials,No,http://www.ehrresources.com.au,"Suite 2, Level 1, 1 Altona Street, WEST PERTH, WA, AUSTRALIA, 6005",(08) 6559 1792,(08) 9481 4950,"AUTOMIC REGISTRY SERVICES
                    LEVEL 2, 267 St Georges Terrace,, PERTH, WA, AUSTRALIA, 6000",(08) 9324 2099,,,,,,,,,,
EDC,28/2/17,Diversified Financials,No,http://www.eildonfunds.com,"Suite 4, Level 6, 330 Collins Street, MELBOURNE, VIC, AUSTRALIA, 3000",02 9087 8000,02 9087 8088,"COMPUTERSHARE INVESTOR SERVICES PTY LIMITED
                    Level 3, 60 Carrington Street, SYDNEY, NSW, AUSTRALIA, 2000",02 8234 5000,,,,,,,,,,
ECF,6/12/19,Real Estate,No,http://www.elanorinvestors.com,"Suite 3, Level 38, 259 George Street, SYDNEY, NSW, AUSTRALIA, 2000",+61 (02) 9239 8400,-,"BOARDROOM PTY LIMITED
                    LEVEL 12, 225 GEORGE STREET, SYDNEY, NSW, AUSTRALIA, 2000",(02) 9290 9600,,,,,,,,,,
ENN,11/7/14,Consumer Services,No,http://www.elanorinvestors.com,"Level 38, 259 George Street, SYDNEY, NSW, AUSTRALIA, 2000",(02) 9239 8400,(02) 9239 8411,"COMPUTERSHARE INVESTOR SERVICES PTY LIMITED
                    Level 3, 60 Carrington Street, SYDNEY, NSW, AUSTRALIA, 2000",02 8234 5000,,,,,,,,,,
ERF,9/11/16,Real Estate,No,http://www.elanorinvestors.com/ERF,"Suite 3, Level 38, 259 George Street, SYDNEY, NSW, AUSTRALIA, 2000",02 9239 8400,02 9239 8411,"COMPUTERSHARE INVESTOR SERVICES PTY LIMITED
                    Level 3, 60 Carrington Street, SYDNEY, NSW, AUSTRALIA, 2000",02 8234 5000,,,,,,,,,,
ELD,30/6/81,"Food, Beverage & Tobacco",No,http://www.elders.com.au,"Level 10, 80 Grenfell Street, ADELAIDE, SA, AUSTRALIA, 5000",-,-,"BOARDROOM PTY LIMITED
                    LEVEL 12, 225 GEORGE STREET, SYDNEY, NSW, AUSTRALIA, 2000",(02) 9290 9600,,,,,,,,,,
EOS,23/10/00,Capital Goods,No,http://www.eos-aus.com,"Suite 3, Level 12, 75 Elizabeth Street, SYDNEY, NSW, AUSTRALIA, 2000",(02) 9233 5015,(02) 9232 3411,"COMPUTERSHARE INVESTOR SERVICES PTY LIMITED
                    Level 3, 60 Carrington Street, SYDNEY, NSW, AUSTRALIA, 2000",02 8234 5000,,,,,,,,,,
E25,9/11/06,Materials,No,http://www.element25.com.au/,"Unit 2, 11 Ventnor Avenue, WEST PERTH, WA, AUSTRALIA, 6005",(08) 6315 1400,(08) 9389 2199,"AUTOMIC REGISTRY SERVICES
                    LEVEL 2, 267 St Georges Terrace,, PERTH, WA, AUSTRALIA, 6000",(08) 9324 2099,,,,,,,,,,
ELT,23/12/09,Materials,No,http://www.elementos.com.au,"Level 6, 10 Market Street, BRISBANE, QLD, AUSTRALIA, 4000",(07) 3221 7770,(07) 3212 6250,"BOARDROOM PTY LIMITED
                    LEVEL 12, 225 GEORGE STREET, SYDNEY, NSW, AUSTRALIA, 2000",(02) 9290 9600,,,,,,,,,,
EXL,8/1/18,Household & Personal Products,No,http://elixinolglobal.com/,"Level 12, 680 George Street, SYDNEY, NSW, AUSTRALIA, 2000",+61 240 444 585,+61 240 444 585,"COMPUTERSHARE INVESTOR SERVICES PTY LIMITED
                    Level 3, 60 Carrington Street, SYDNEY, NSW, AUSTRALIA, 2000",02 8234 5000,,,,,,,,,,
EXR,19/7/04,Energy,No,http://www.elixirenergy.net.au,"Level 10, 50 Pirie Street, ADELAIDE, SA, AUSTRALIA, 5000",+61 8 9226 2111,-,"AUTOMIC REGISTRY SERVICES
                    Level 5, 126 Phillip Street, SYDNEY, NSW, AUSTRALIA, 2000",02 9698 5414,,,,,,,,,,
EAI,15/9/15,Not Applic,No,http://www.ellerstoncapital.com,"Level 11, 179 Elizabeth Street, SYDNEY, NSW, AUSTRALIA, 2000",02 9021 7797,-,"LINK MARKET SERVICES LIMITED
                    LEVEL 12, 680 GEORGE STREET, SYDNEY, NSW, AUSTRALIA, 2000",1300 554 474,,,,,,,,,,
EGI,20/10/14,Not Applic,No,http://www.ellerstoncapital.com/egi,"C/- Ellerston Capital, Level 11, 179 Elizabeth Street, SYDNEY, NSW, AUSTRALIA, 2000",(02) 9021 7797,(02) 9261 0528,"LINK MARKET SERVICES LIMITED
                    LEVEL 12, 680 GEORGE STREET, SYDNEY, NSW, AUSTRALIA, 2000",1300 554 474,,,,,,,,,,
ELO,29/6/17,Software & Services,No,http://www.elmotalent.com.au,"Level 12, 680 George Street, SYDNEY, NSW, AUSTRALIA, 2000",02 9375 7975,-,"LINK MARKET SERVICES LIMITED
                    LEVEL 12, 680 GEORGE STREET, SYDNEY, NSW, AUSTRALIA, 2000",1300 554 474,,,,,,,,,,
ELE,25/2/98,Materials,No,http://www.nslconsolidated.com,"Suite 3, 17 Foley Street, BALCATTA, WA, AUSTRALIA, 6021",08 6168 8000,08 6168 8039,"AUTOMIC REGISTRY SERVICES
                    LEVEL 2, 267 St Georges Terrace,, PERTH, WA, AUSTRALIA, 6000",(08) 9324 2099,,,,,,,,,,
ELS,8/6/17,Technology Hardware & Equipment,No,http://www.el-sight.com,"Level 7, 330 Collins Street, MELBOURNE, VIC, AUSTRALIA, 3000",03 8689 9997,03 9602 4709,"AUTOMIC REGISTRY SERVICES
                    LEVEL 2, 267 St Georges Terrace,, PERTH, WA, AUSTRALIA, 6000",(08) 9324 2099,,,,,,,,,,
EMB,1/1/74,Capital Goods,No,,"147 - 149 Bakers Road, COBURG, VIC, AUSTRALIA, 3058",(03) 9353 4811,(03) 9353 4855,"BOARDROOM PTY LIMITED
                    LEVEL 12, 225 GEORGE STREET, SYDNEY, NSW, AUSTRALIA, 2000",(02) 9290 9600,,,,,,,,,,
EHL,28/7/06,Capital Goods,No,http://www.emecogroup.com,"Level 3, 71 Walters Drive, OSBORNE PARK, WA, AUSTRALIA, 6017",08 9420 0222,08 9420 0205,"LINK MARKET SERVICES LIMITED
                    LEVEL 12, 680 GEORGE STREET, SYDNEY, NSW, AUSTRALIA, 2000",1300 554 474,,,,,,,,,,
EMD,12/2/20,Health Care Equipment & Services,No,http://www.emeraldclinics.com.au,"Level 1, 50 Angove Street, NORTH PERTH, WA, AUSTRALIA, 6006",-,-,"AUTOMIC REGISTRY SERVICES
                    LEVEL 2, 267 St Georges Terrace,, PERTH, WA, AUSTRALIA, 6000",(08) 9324 2099,,,,,,,,,,
EMR,22/7/94,Materials,No,http://www.emeraldresources.com.au,"1110 Hay St, WEST PERTH, WA, AUSTRALIA, 6005",1300 729 543,1300 729 528,"AUTOMIC REGISTRY SERVICES
                    LEVEL 2, 267 St Georges Terrace,, PERTH, WA, AUSTRALIA, 6000",(08) 9324 2099,,,,,,,,,,
EM1,9/6/71,Media & Entertainment,No,http://www.emergegaming.com.au,"Suite 1, 437 Roberts Road, SUBIACO, WA, AUSTRALIA, 6008",+61 8 6380 2555,+61 8 9381 1122,"AUTOMIC REGISTRY SERVICES
                    LEVEL 2, 267 St Georges Terrace,, PERTH, WA, AUSTRALIA, 6000",(08) 9324 2099,,,,,,,,,,
EMT,26/10/10,Not Applic,No,http://www.westpeakiron.com.au,"Suite 9, 330 Churchill Avenue, SUBIACO, WA, AUSTRALIA, 6008",+61 8 6489 1600,+61 8 6489 1601,"AUTOMIC REGISTRY SERVICES
                    LEVEL 2, 267 St Georges Terrace,, PERTH, WA, AUSTRALIA, 6000",(08) 9324 2099,,,,,,,,,,
EMI,4/5/18,Not Applic,No,,"Emirates NBD, P O Box 777, DUBAI, ., UNITED ARAB EMIRATES, .",97106093009,-,"AUSTRACLEAR SERVICES LIMITED
                    20 BRIDGE STREET, SYDNEY, NSW, AUSTRALIA, 2000",(02) 9256 0689,,,,,,,,,,
EML,18/1/06,Software & Services,No,http://www.emlpayments.com.au,"Level 12, 333 Ann Street, BRISBANE, QLD, AUSTRALIA, 4000",+61 07 3607 0100,+61 07 3607 0111,"LINK MARKET SERVICES LIMITED
                    LEVEL 12, 680 GEORGE STREET, SYDNEY, NSW, AUSTRALIA, 2000",1300 554 474,,,,,,,,,,
ERM,17/12/07,Materials,No,http://www.emmersonresources.com.au,"3 Kimberley Street, WEST LEEDERVILLE, WA, AUSTRALIA, 6007",08 9381 7838,08 9381 5375,"ADVANCED SHARE REGISTRY SERVICES
                    110 STIRLING HIGHWAY, NEDLANDS, WA, AUSTRALIA, 6009",(08) 9389 8033,,,,,,,,,,
EMP,5/6/87,Energy,No,http://www.emperorenergy.com.au,"Level 32, 1 Market Street, SYDNEY, NSW, AUSTRALIA, 2000",292758878,992758878,"AUTOMIC REGISTRY SERVICES
                    Level 5, 126 Phillip Street, SYDNEY, NSW, AUSTRALIA, 2000",02 9698 5414,,,,,,,,,,
EEG,30/8/84,Energy,No,http://www.empireenergygroup.net,"Level 19, 20 Bond Street, SYDNEY, NSW, AUSTRALIA, 2000",(02) 9251 1846,(02) 9251 0244,"COMPUTERSHARE INVESTOR SERVICES PTY LIMITED
                    Level 3, 60 Carrington Street, SYDNEY, NSW, AUSTRALIA, 2000",02 8234 5000,,,,,,,,,,
ERL,1/2/07,Materials,No,http://www.resourcesempire.com.au,"159 Stirling Highway, NEDLANDS, WA, AUSTRALIA, 6008",08 9361 3100,08 9361 3154,"AUTOMIC REGISTRY SERVICES
                    LEVEL 2, 267 St Georges Terrace,, PERTH, WA, AUSTRALIA, 6000",(08) 9324 2099,,,,,,,,,,
EPD,19/10/07,Software & Services,No,http://www.empired.com,"Level 7, The Quadrant, 1 William Street, PERTH, WA, AUSTRALIA, 6000",(08) 6333 2200,NA,"COMPUTERSHARE INVESTOR SERVICES PTY LIMITED
                    Level 11, 172 St Georges Terrace, PERTH, WA, AUSTRALIA, 6000",1300 850 505,,,,,,,,,,
EMU,27/2/08,Materials,No,http://www.emunl.com.au/,"10 Walker Avenue, WEST PERTH, WA, AUSTRALIA, 6005",(08) 9226 4266,(08) 9481 2523,"AUTOMIC REGISTRY SERVICES
                    LEVEL 2, 267 St Georges Terrace,, PERTH, WA, AUSTRALIA, 6000",(08) 9324 2099,,,,,,,,,,
EMV,13/12/18,Health Care Equipment & Services,No,http://www.emvision.com.au,"BDO (QLD) Pty Ltd, Level 10, 12 creek Street, BRISBANE, QLD, AUSTRALIA, 4000",02 8667 5337,-,"LINK MARKET SERVICES LIMITED
                    Level 12 QV1 Building, 250 St Georges Terrace Perth, PERTH, WA, AUSTRALIA, 6000",1300 554 474,,,,,,,,,,
ENR,24/3/06,Materials,No,http://www.encounterresources.com.au,"Level 7, 600 Murray Street, WEST PERTH, WA, AUSTRALIA, 6005",(08) 9486 9455,(08) 9486 8366,"AUTOMIC REGISTRY SERVICES
                    LEVEL 2, 267 St Georges Terrace,, PERTH, WA, AUSTRALIA, 6000",(08) 9324 2099,,,,,,,,,,
ENB,28/4/06,Utilities,No,http://www.eneabbagas.com.au,"Ground Floor, 50 Ord Street, WEST PERTH, WA, AUSTRALIA, 6005",08  9467 4220,08 9482 0505,"AUTOMIC REGISTRY SERVICES
                    LEVEL 2, 267 St Georges Terrace,, PERTH, WA, AUSTRALIA, 6000",(08) 9324 2099,,,,,,,,,,
ERG,29/3/06,"Food, Beverage & Tobacco",No,http://www.eneco-refresh.com.au,"17 Denninup Way, MALAGA, WA, AUSTRALIA, 6090",(08) 9248 3006,(08) 9248 7233,"COMPUTERSHARE INVESTOR SERVICES PTY LIMITED
                    Level 11, 172 St Georges Terrace, PERTH, WA, AUSTRALIA, 6000",1300 850 505,,,,,,,,,,
ENX,8/10/13,Energy,No,http://www.enegex.com.au,"108 Marlborough Street, BENTLEIGH EAST, VIC, AUSTRALIA, 3165",(03) 8610 4703,(03) 8610 4799,"AUTOMIC REGISTRY SERVICES
                    Level 5, 126 Phillip Street, SYDNEY, NSW, AUSTRALIA, 2000",02 9698 5414,,,,,,,,,,
EAX,13/10/11,Commercial & Professional Services,No,http://www.energyaction.com.au,"Level 5, 56 Station Street, PARRAMATTA, NSW, AUSTRALIA, 2150",(02) 9633 6451,(02) 9475 0954,"LINK MARKET SERVICES LIMITED
                    LEVEL 12, 680 GEORGE STREET, SYDNEY, NSW, AUSTRALIA, 2000",1300 554 474,,,,,,,,,,
EME,9/9/05,Energy,No,http://www.energymetals.net/,"Level 2, 28 Kings Park Road, WEST PERTH, WA, AUSTRALIA, 6005",(08) 9322 6904,(08) 9321 5240,"AUTOMIC REGISTRY SERVICES
                    Level 5, 126 Phillip Street, SYDNEY, NSW, AUSTRALIA, 2000",02 9698 5414,,,,,,,,,,
EOL,15/1/07,Software & Services,No,http://www.energyone.com,"Level 13, 77 Pacific Highway, NORTH SYDNEY, NSW, AUSTRALIA, 2060",(02) 89162200,(02) 89162200,"LINK MARKET SERVICES LIMITED
                    Level 21, 10 Eagle Street, BRISBANE, QLD, AUSTRALIA, 4000",1300 554 474,,,,,,,,,,
ERA,19/11/80,Energy,No,http://www.energyres.com.au,"C/-Mallesons Stephen Jaques, Level 5, NICTA Building B, 7 London Circuit, CANBERRA CITY, ACT, AUSTRALIA, 2601",+61 8 8924 3500,+61 8 89243506,"COMPUTERSHARE INVESTOR SERVICES PTY LIMITED
                    Level 1, 200 Mary Street, BRISBANE, QLD, AUSTRALIA, 4000",1300 552 270,,,,,,,,,,
EGY,22/10/92,Capital Goods,No,http://www.energytechnologies.com.au,"Unit J, 134-140 Old Pittwater Road, Brookvale, Sydney, NSW, AUSTRALIA, 2100",(02) 9938 5622,(02) 9939 9812,"COMPUTERSHARE INVESTOR SERVICES PTY LIMITED
                    Level 3, 60 Carrington Street, SYDNEY, NSW, AUSTRALIA, 2000",02 8234 5000,,,,,,,,,,
EWC,8/12/88,Utilities,No,http://www.energyworldcorp.com,"9A, Seaforth Crescent, SEAFORTH, NSW, AUSTRALIA, 2092",+61 2 9247 6888,+61 2 9247 6100,"COMPUTERSHARE INVESTOR SERVICES PTY LIMITED
                    Yarra Falls, 452 Johnston Street, ABBOTSFORD, VIC, AUSTRALIA, 3067",03 9415 4000,,,,,,,,,,
EGG,30/4/04,Media & Entertainment,No,http://www.enero.com,"Level 2, 100 Harris Street, PYRMONT, NSW, AUSTRALIA, 2009",(02) 8213 3031,(02) 8213 3030,"LINK MARKET SERVICES LIMITED
                    LEVEL 12, 680 GEORGE STREET, SYDNEY, NSW, AUSTRALIA, 2000",1300 554 474,,,,,,,,,,
ENE,1/1/74,Capital Goods,No,http://enevis.com.au,"53 Stanley Street, WEST MELBOURNE, VIC, AUSTRALIA, 3003",(03) 9289 5020,(03) 9289 5050,"COMPUTERSHARE INVESTOR SERVICES PTY LIMITED
                    Yarra Falls, 452 Johnston Street, ABBOTSFORD, VIC, AUSTRALIA, 3067",03 9415 4000,,,,,,,,,,
EN1,14/12/17,Media & Entertainment,No,http://engagebdr.com/,"Level 4, 90 William Street, MELBOURNE, VIC, AUSTRALIA, 3000",396927222,390779233,"COMPUTERSHARE INVESTOR SERVICES PTY LIMITED
                    AXA ASIA PACIFIC HOLDINGS LIMITED, LEVEL 12, 565 BOURKE STREET, MELBOURNE, VIC, AUSTRALIA, 3001",1300 367 373,,,,,,,,,,
EGN,14/12/06,Capital Goods,No,http://www.engenco.com.au,"Level 22, 535 Bourke Street, MELBOURNE, VIC, AUSTRALIA, 3000",+61 3 8620 8900,+61 3 8620 8999,"AUTOMIC REGISTRY SERVICES
                    Level 5, 126 Phillip Street, SYDNEY, NSW, AUSTRALIA, 2000",02 9698 5414,,,,,,,,,,
EXO,18/5/07,Diversified Financials,No,http://www.ennoxgroup.com.au,"Level 13, 200 Queen Street, MELBOURNE, VIC, AUSTRALIA, 3000",+61 3 8600 6946,+61 3 8648 6480,"BOARDROOM PTY LIMITED
                    LEVEL 12, 225 GEORGE STREET, SYDNEY, NSW, AUSTRALIA, 2000",(02) 9290 9600,,,,,,,,,,
ENV,13/4/07,Materials,No,https://www.crosslandstrategic.com/,"Suite 3, Level 2, 470 Collins Street, MELBOURNE, VIC, AUSTRALIA, 3000",03 9867 7199,03 9867 8587,"BOARDROOM PTY LIMITED
                    LEVEL 12, 225 GEORGE STREET, SYDNEY, NSW, AUSTRALIA, 2000",(02) 9290 9600,,,,,,,,,,
ENA,23/9/11,Insurance,No,http://www.ensurance.com.au,"Level 21, Westfield Tower 2, 101 Grafton Street, BONDI JUNCTION, NSW, AUSTRALIA, 2022",+61 2 9167 8050,+61 2 9167 8050,"COMPUTERSHARE INVESTOR SERVICES PTY LIMITED
                    Level 11, 172 St Georges Terrace, PERTH, WA, AUSTRALIA, 6000",1300 850 505,,,,,,,,,,
ENT,20/6/07,Materials,No,http://www.enterprisemetals.com.au,"Suite 9, 12-14 Thelma Street, WEST PERTH, WA, AUSTRALIA, 6005",+61 8 6381 0392,+61 8 9321 6084,"AUTOMIC REGISTRY SERVICES
                    LEVEL 2, 267 St Georges Terrace,, PERTH, WA, AUSTRALIA, 6000",(08) 9324 2099,,,,,,,,,,
ECT,5/2/86,Commercial & Professional Services,No,http://www.ectltd.com.au,"388 Punt Road, SOUTH YARRA, VIC, AUSTRALIA, 3141",+61 417 211 050,+000 0000 0000,"AUTOMIC REGISTRY SERVICES
                    Level 5, 126 Phillip Street, SYDNEY, NSW, AUSTRALIA, 2000",02 9698 5414,,,,,,,,,,
EGL,12/2/81,Capital Goods,No,http://www.environmental.com.au,"Level 1 Suite 1, 10 Ferntree Place, NOTTING HILL, VIC, AUSTRALIA, 3168",(03) 9763 6711,(03) 9763 6711,"BOARDROOM PTY LIMITED
                    LEVEL 12, 225 GEORGE STREET, SYDNEY, NSW, AUSTRALIA, 2000",(02) 9290 9600,,,,,,,,,,
EVS,11/2/08,Software & Services,No,http://www.envirosuite.com,"Suite 3, Level 11, 157 Walker Street, NORTH SYDNEY, NSW, AUSTRALIA, 2060",02 8484 5819,02 8088 1068,"BOARDROOM PTY LIMITED
                    LEVEL 12, 225 GEORGE STREET, SYDNEY, NSW, AUSTRALIA, 2000",(02) 9290 9600,,,,,,,,,,
E2E,21/1/11,Energy,No,http://www.eonnrg.com,"Level 1, 20 Howard Street, PERTH, WA, AUSTRALIA, 6000",(08) 6144 0590,(08) 6144 0593,"LINK MARKET SERVICES LIMITED
                    LEVEL 4 CENTRAL PARK, 152 ST GEORGES TERRACE, PERTH, WA, AUSTRALIA, 6000",1300 554 474,,,,,,,,,,
EQT,6/8/85,Diversified Financials,No,http://www.eqt.com.au/,"Level 1, 575 Bourke Street, MELBOURNE, VIC, AUSTRALIA, 3000",(03) 8623 5000,(03) 8623 5200,"LINK MARKET SERVICES LIMITED
                    Tower 4, 727 Collins Street, DOCKLANDS, VIC, AUSTRALIA, 3008",1300 554 474,,,,,,,,,,
EQX,14/5/87,Materials,No,http://www.equatorialresources.com.au,"Level 9, 28 The Esplanade, PERTH, WA, AUSTRALIA, 6000",(08) 9322 6322,(08) 9322 6558,"COMPUTERSHARE INVESTOR SERVICES PTY LIMITED
                    Level 11, 172 St Georges Terrace, PERTH, WA, AUSTRALIA, 6000",1300 850 505,,,,,,,,,,
EQE,12/12/95,Materials,No,http://www.equusmining.com,"Level 2, 66 Hunter Street, SYDNEY, NSW, AUSTRALIA, 2000",+61 2 9300 3366,+61 2  9221 6333,"ADVANCED SHARE REGISTRY SERVICES
                    110 STIRLING HIGHWAY, NEDLANDS, WA, AUSTRALIA, 6009",(08) 9389 8033,,,,,,,,,,
ESE,14/2/17,"Pharmaceuticals, Biotechnology & Life Sciences",No,http://www.esense-lab.com,"Suite 5 CPC, 145 Stirling Highway, NEDLANDS, WA, AUSTRALIA, 6009",+61 8 9389 3100,+61 8 9389 3199,"LINK MARKET SERVICES LIMITED
                    Level 12 QV1 Building, 250 St Georges Terrace Perth, PERTH, WA, AUSTRALIA, 6000",1300 554 474,,,,,,,,,,
ESH,19/10/11,Media & Entertainment,No,https://esh.mogul.gg,"Level 21, 459 Collins Street, MELBOURNE, VIC, AUSTRALIA, 3000",(03) 8630 3315,(08) 9429 8888,"AUTOMIC REGISTRY SERVICES
                    LEVEL 2, 267 St Georges Terrace,, PERTH, WA, AUSTRALIA, 6000",(08) 9324 2099,,,,,,,,,,
EHE,5/12/14,Health Care Equipment & Services,No,http://www.estiahealth.com.au,"Level 9, 227 Elizabeth Street, SYDNEY, NSW, AUSTRALIA, 2000",02 9265 7900,03 9804 0336,"LINK MARKET SERVICES LIMITED
                    LEVEL 12, 680 GEORGE STREET, SYDNEY, NSW, AUSTRALIA, 2000",1300 554 474,,,,,,,,,,
ESR,9/5/12,Materials,No,http://www.estrellaresources.com.au,"Level 11, 216 St Georges Terrace, PERTH, WA, AUSTRALIA, 6000",+61 8 9481 0389,+61 8 9463 6103,"AUTOMIC REGISTRY SERVICES
                    LEVEL 2, 267 St Georges Terrace,, PERTH, WA, AUSTRALIA, 6000",(08) 9324 2099,,,,,,,,,,
ESK,7/9/12,Software & Services,No,http://www.etherstack.com,"Level 1, 93 A Sheperd Street, CHIPPENDALE, NSW, AUSTRALIA, 2008",(02) 8399 7500,(02) 8399 7507,"COMPUTERSHARE INVESTOR SERVICES PTY LIMITED
                    Yarra Falls, 452 Johnston Street, ABBOTSFORD, VIC, AUSTRALIA, 3067",03 9415 4000,,,,,,,,,,
EBG,7/12/89,Consumer Services,No,http://eumundigroup.com.au,"Level 15, 10 Market Street, BRISBANE, QLD, AUSTRALIA, 4000",(07) 3229 7222,(07) 3211 8222,"COMPUTERSHARE INVESTOR SERVICES PTY LIMITED
                    Level 1, 200 Mary Street, BRISBANE, QLD, AUSTRALIA, 4000",1300 552 270,,,,,,,,,,
EGH,1/7/04,Real Estate,No,http://www.eurekagroupholdings.com.au,"Level 2, 7 Short St, SOUTHPORT, QLD, AUSTRALIA, 4215",(07) 5568 0205,(07) 5568 0206,"LINK MARKET SERVICES LIMITED
                    Level 21, 10 Eagle Street, BRISBANE, QLD, AUSTRALIA, 4000",1300 554 474,,,,,,,,,,
EMN,2/10/18,Materials,No,http://www.mn25.ca,"Suite 1700,, 666 Burrard Street,, VANCOUVER, BC, CANADA, V6C 2X8",+1 604 681 1010,-,"COMPUTERSHARE INVESTOR SERVICES PTY LIMITED
                    Level 3, 60 Carrington Street, SYDNEY, NSW, AUSTRALIA, 2000",02 8234 5000,,,,,,,,,,
EUC,4/3/11,Materials,No,https://www.europeancobalt.com,"Suite 23, 513 Hay Street, SUBIACO, WA, AUSTRALIA, 6008",+61 8 6143 6740,+61 8 9388 8824,"AUTOMIC REGISTRY SERVICES
                    LEVEL 2, 267 St Georges Terrace,, PERTH, WA, AUSTRALIA, 6000",(08) 9324 2099,,,,,,,,,,
EUR,2/12/10,Materials,No,http://www.europeanlithium.com,"32 Harrogate Street, WEST LEEDERVILLE, WA, AUSTRALIA, 6007",(08) 6181 9792,(08) 9380 9666,"COMPUTERSHARE INVESTOR SERVICES PTY LIMITED
                    Level 11, 172 St Georges Terrace, PERTH, WA, AUSTRALIA, 6000",1300 850 505,,,,,,,,,,
EMH,19/7/12,Materials,No,http://www.europeanmet.com,"Everest Corporate Pty Ltd, Suite 12, Level 1, 11 Ventnor Avenue, WEST PERTH, WA, AUSTRALIA, 6005",+61 8 6245 2057,+61 8 6245 2055,"COMPUTERSHARE INVESTOR SERVICES PTY LIMITED
                    Level 11, 172 St Georges Terrace, PERTH, WA, AUSTRALIA, 6000",1300 850 505,,,,,,,,,,
EZL,2/8/71,Diversified Financials,No,http://www.euroz.com,"Level 18, Alluvion, 58 Mounts Bay Road, PERTH, WA, AUSTRALIA, 6000",(08) 9488 1400,(08) 9488 1477,"COMPUTERSHARE INVESTOR SERVICES PTY LIMITED
                    Level 11, 172 St Georges Terrace, PERTH, WA, AUSTRALIA, 6000",1300 850 505,,,,,,,,,,
EAF,17/5/18,Not Applic,No,http://www.asiafund.com.au,"Level 15,, 100 Pacific Highway,, NORTH SYDNEY, NSW, AUSTRALIA, 2060",1300 454 801,1300 883 159,"BOARDROOM PTY LIMITED
                    LEVEL 12, 225 GEORGE STREET, SYDNEY, NSW, AUSTRALIA, 2000",(02) 9290 9600,,,,,,,,,,
EFF,27/6/18,Not Applic,No,http://www.australianflagshipfund.com.au,"Level 15, 100 Pacific Highway, North Sydney, SYDNEY, NSW, AUSTRALIA, 2060",1300 454 801,1300 883 159,"BOARDROOM PTY LIMITED
                    LEVEL 12, 225 GEORGE STREET, SYDNEY, NSW, AUSTRALIA, 2000",(02) 9290 9600,,,,,,,,,,
EGD,1/8/17,Not Applic,No,http://www.epgdf.com.au,"Level 15, 100 Pacific Highway, NORTH SYDNEY, NSW, AUSTRALIA, 2060",1300 454 801,1300 883 159,"BOARDROOM PTY LIMITED
                    LEVEL 12, 225 GEORGE STREET, SYDNEY, NSW, AUSTRALIA, 2000",(02) 9290 9600,,,,,,,,,,
