issuer_code,listing_date,gics_industry_group,exempt_foreign,internet_address,registered_office_address,head_office_telephone,head_office_fax,registry_id
CD2,2013-4-9,Not Applic,No,http://www.cordishdixonfunds.com.au/,"Level 15, 100 Pacific Highway, NORTH SYDNEY, NSW, AUSTRALIA, 2060",1300 454 801,1300 457 349,8
CD3,2016-7-27,Not Applic,No,http://www.cordishdixonfunds.com.au/,"Level 15, 100 Pacific Highway, NORTH SYDNEY, NSW, AUSTRALIA, 2060",1300 454 801,1300 883 159,8
CXO,2011-2-11,Materials,No,http://www.corelithium.com.au,"Level 1, 366 King William Street, ADELAIDE, SA, AUSTRALIA, 5000",(08) 8317 1700,-,4
CRN,2018-10-23,Materials,No,https://coronadoglobal.com.au/,"C/National Registered Agents, Inc, Suite 101, 160 Greentree Drive, DOVER, DEL, UNITED STATES OF AMERICA, 19904",+1 681-207-7288,+1 304-715-3542,17
CTD,2010-12-15,Consumer Services,No,https://investor.travelctm.com.au/,"Level 24, 307 Queen Street, BRISBANE, QLD, AUSTRALIA, 4000",(07) 3211 2400,(07) 3229 7522,19
COO,1971-7-28,Software & Services,No,http://www.corum.com.au,"Level 3, 120 Sussex Street, SYDNEY, NSW, AUSTRALIA, 2000",(02) 9289 4699,(02) 9299 3276,17
COS,2020-1-24,Software & Services,No,http://www.cosol.com.au,"Level 3, 201 Leichhardt Street, SPRING HILL, QLD, AUSTRALIA, 4000",07 3129 3341,-,22
CGC,2015-7-24,"Food, Beverage & Tobacco",No,http://www.costagroup.com.au,"Unit 1, 271-279 Robinsons Road, RAVENHALL, VIC, AUSTRALIA, 3023",(03) 8363 9000,-,23
CGM,2003-12-16,Materials,No,http://www.cgm.com.au,"Ground Floor, 16 Ord Street, WEST PERTH, WA, AUSTRALIA, 6005",08 9482 0580,08 9482 0505,4
CUP,2010-12-22,Commercial & Professional Services,No,http://www.countplus.com.au,"Level 17, 1 Margaret Street, SYDNEY, NSW, AUSTRALIA, 2000",1300 825 295,-,19
CCJ,2011-11-15,Energy,No,http://www.countycoal.com,"Level 2, 27-31 Macquarie Street, SYDNEY, NSW, AUSTRALIA, 2000",(02) 9251 3311,(02) 9251 6550,8
CYG,1966-1-27,Capital Goods,No,http://www.cgl.com.au,"235 Settlement Road, THOMASTOWN, VIC, AUSTRALIA, 3074",(03) 9205 8290,1800 008 592,19
CZR,2006-8-29,Materials,No,http://www.coziron.com,"c/- Trident Management Services Pty Ltd, Level 24, 44 St Georges Terrace, PERTH, WA, AUSTRALIA, 6000",(08) 6211 5099,(08) 9218 8875,3
CGO,2000-9-8,Software & Services,No,http://www.cptglobal.com,"Level 1, 4 Riverside Quay, SOUTHBANK, VIC, AUSTRALIA, 3006",03 9684 7900,03 9684 7999,8
CXX,2011-9-16,Materials,No,http://www.cradleresources.com.au,"102 Forrest Street, COTTESLOE, WA, AUSTRALIA, 6011",(08) 9320 4700,(08) 9320 4750,25
CGN,2002-11-1,Materials,No,http://www.cratergold.com.au,"Level 3, 216 St Georges Terrace, PERTH, WA, AUSTRALIA, 6000",08 6188 8181,08 6188 8182,22
CCP,2000-9-4,Diversified Financials,No,http://www.creditcorp.com.au,"Level 15, 201 Kent Street, SYDNEY, NSW, AUSTRALIA, 2000",(02) 8651 5000,1300 483 012,8
CI1,2008-7-10,Commercial & Professional Services,No,http://www.ci1.com.au,"Suite 506, Level 5, 50 Clarence Street, SYDNEY, NSW, AUSTRALIA, 2000",+61 8 9389 2111,+61 8 9389 2199,1
CPH,2016-10-20,"Pharmaceuticals, Biotechnology & Life Sciences",No,http://www.cresopharma.com,"Suite 5 CPC, 145 Stirling Highway, NEDLANDS, WA, AUSTRALIA, 6009",02 8067 8606,08 9389 3199,4
CMW,1973-2-22,Real Estate,No,http://www.cromwellpropertygroup.com,"Level 19, 200 Mary Street, BRISBANE, QLD, AUSTRALIA, 4000",(07) 3225-7777,(07) 3225-7788,23
CAU,2019-11-7,Health Care Equipment & Services,No,http://www.cronosaustralia.com,"Suite 3, Level 8, 299 Toorak Road, SOUTH YARRA, VIC, AUSTRALIA, 3141",1300 799 491,-,27
CLI,2017-9-12,Commercial & Professional Services,No,http://www.croplogic.com,"DLA Piper New Zealand, Chartered Accountants House, Level 5, 50-64 Customhouse Quay, WELLINGTON, LIN, NEW ZEALAND, 6140",+61 8 9429 8840,-,25
CM8,1999-12-16,Media & Entertainment,No,http://www.crowdmobile.com,"Level 4, 44 Gwynne Street, CREMORNE, VIC, AUSTRALIA, 3121",+61 3 9020 1468,+61 3 9923 6507,8
CWN,2007-12-3,Consumer Services,No,http://www.crownresorts.com.au,"Level 3, Crown Towers, 8 Whiteman Street, SOUTHBANK, VIC, AUSTRALIA, 3006",03 9292 8824,03 9262 8808,19
CU1,2016-5-24,Not Applic,No,,"Westpac Securitisation Management Pty Li, C/- Westpac Group Secretariat, Level 18, Westpac Place, 275 Kent Street, SYDNEY, NSW, AUSTRALIA, 2000",.,-,33
CU2,2017-3-31,Not Applic,No,,"Westpac Banking Corporation, C/- Westpac Group Secretariat, Level 18, 275 Kent Street, SYDNEY, NSW, AUSTRALIA, 2000",(02) 8253 3589,-,33
CTE,2002-5-9,"Pharmaceuticals, Biotechnology & Life Sciences",No,http://www.cryosite.com,"13A Ferndell Street,, SOUTH GRANVILLE, NSW, AUSTRALIA, 2142",288652000,288652090,23
CSL,1994-6-8,"Pharmaceuticals, Biotechnology & Life Sciences",No,http://www.csl.com.au/,"45 Poplar Road, PARKVILLE, VIC, AUSTRALIA, 3052",(03) 9389 1911,(03) 9389 1434,19
CSR,1962-3-31,Materials,No,http://www.csr.com.au/,"Level 5, Triniti 3, 39 Delhi Road, NORTH RYDE, NSW, AUSTRALIA, 2113",02 9235 8000,02 8362  9012,19
CLX,1987-12-2,Transportation,No,http://www.ctilogistics.com,"1 Drummond Place, WEST PERTH, WA, AUSTRALIA, 6005",(08) 9422 1100,(08) 9227 8000,16
CUE,1995-12-11,Energy,No,http://www.cuenrg.com.au,"Level 3, 10-16 Queen Street, MELBOURNE, VIC, AUSTRALIA, 3000",(03) 86104000,(03) 96142142,19
CUL,1988-11-23,Materials,No,http://www.cullenresources.com.au/,"Unit 4, 7 Hardy Street, SOUTH PERTH, WA, AUSTRALIA, 6151",08 9474 5511,08 9474 5588,17
CV1,2015-9-8,Software & Services,No,http://www.cvcheck.com,"Buidling E, The Garden Office Park, Level 2, 355 Scarborough  Beach Road, OSBORNE PARK, WA, AUSTRALIA, 6017",(08) 9388 3000,-,3
CVC,1985-6-27,Diversified Financials,No,http://www.cvc.com.au/,"Level 37, Gateway Building, 1 Macquarie Place, SYDNEY, NSW, AUSTRALIA, 2000",(02) 9087 8000,(02) 9087 8088,31
CYQ,2007-11-21,Consumer Durables & Apparel,No,http://www.cycliq.com.au,"Suite 6, 295 Rokeby Road, SUBIACO, WA, AUSTRALIA, 6008",+61 8 6555 2950,+61 8 6166 0261,1
CYC,2007-1-18,Health Care Equipment & Services,No,http://www.cyclopharm.com,"Unit 4, 1 The Crescent, KINGSGROVE, NSW, AUSTRALIA, 2208",(02) 9541 0411,(02) 9543 0960,31
CY5,2018-1-15,Materials,No,http://www.cygnusgold.com,"Level 2, 45 Richardson Street, WEST PERTH, WA, AUSTRALIA, 6005",61 8 6111627,61 8 6111627,16
CYP,2007-12-20,"Pharmaceuticals, Biotechnology & Life Sciences",No,http://www.cynata.com,"Level 3, 62 Lygon Street, CARLTON, VIC, AUSTRALIA, 3053",(03) 9824 5254,(03) 9822 7735,3
CYM,1985-4-26,Materials,No,http://www.cypriummetals.com,"Level 2, 38 Rowland Street, SUBIACO, WA, AUSTRALIA, 6008",(08) 61693050,(08) 6117 0452,1
DCN,2012-11-14,Materials,No,http://www.daciangold.com.au,"Level 2, 1 Preston Street, COMO, WA, AUSTRALIA, 6152",(08) 6323 9000,(08) 6323 9099,16
DAU,2010-8-23,Materials,No,http://www.dampiergold.com,"116 Alastair Street, LOTA, QLD, AUSTRALIA, 4179",+61 7 3901 0751,+61 7 3901 0751,1
DTC,2019-10-16,Software & Services,No,http://www.damstratechnology.com,"Level 1, 38-40 Garden Street, SOUTH YARRA, VIC, AUSTRALIA, 3141",1300 722 801,-,17
DNK,2003-10-17,Materials,No,http://www.danakali.com.au/,"Level 11, 125 St Georges Terrace, PERTH, WA, AUSTRALIA, 6000",(08) 6315 1444,(08) 9467 9119,16
DHR,2011-4-11,Materials,No,http://www.darkhorseresources.com.au,"Level 27, 111 Eagle Street, BRISBANE, QLD, AUSTRALIA, 4000",(07) 3303 0650,(07) 3303 0681,24
DTM,2007-5-10,Materials,No,http://www.dartmining.com.au,"Level 6, 412 Collins Street, MELBOURNE, VIC, AUSTRALIA, 3000",(02) 6076 2336,(03) 9642 5177,4
DTL,1997-12-23,Software & Services,No,http://www.data3.com.au,"67 High Street, TOOWONG, QLD, AUSTRALIA, 4066",1300 232823,1300 328232,24
DDT,2005-1-12,Automobiles & Components,No,http://www.datadotdna.com,"8 Ethel Ave, Brookvale, BROOKVALE, NSW, AUSTRALIA, 2100",(02) 89774900,(02) 9975 4700,8
DTR,2011-6-23,Materials,No,http://www.datelineresources.com.au,"Level 29, 2 Chifley Square, SYDNEY, NSW, AUSTRALIA, 2000",+61 2 8231 6640,+61 2 8231 6487,4
DAV,2017-1-20,Materials,No,http://www.davenportresources.com.au,"Level 1, 675 Murray Street, WEST PERTH, WA, AUSTRALIA, 6005",08 6145 0291,08 9475 0847,3
DEG,2002-7-3,Materials,No,http://www.degreymining.com.au,"Suites 24-26, Level 3, 22 Railway Road, SUBIACO, WA, AUSTRALIA, 6008",61 8 6117 9328,61 8 6117 9330,3
DEM,2017-4-7,Utilities,No,http://www.demembranes.com,"Level 4, 96-100 Albert Road, SOUTH MELBOURNE, VIC, AUSTRALIA, 3205",+61 3 9692 7222,+61 3 9692 7222,27
DCG,2005-4-22,Capital Goods,No,http://www.decmil.com,"20 Parkland Road, OSBORNE PARK, WA, AUSTRALIA, 6017",(08) 9368 8877,(08) 9368 8878,16
DYL,1985-12-19,Energy,No,http://www.deepyellow.com.au,"Unit 17, Spectrum Building, 100-104 Railway Road, SUBIACO, WA, AUSTRALIA, 6008",(08) 9286 6999,(08) 9286 6969,16
D13,2012-7-4,Capital Goods,No,https://www.asx.com.au/asx/share-price-research/company/D13,"c/- Hayes Advisory, Level 16, 55 Clarence St, SYDNEY, NSW, AUSTRALIA, 2000",+61 2 8270 9300,+61 2 9262 3693,
DLC,1987-1-15,Retailing,No,http://delecta.com.au,"Level 1, 170-180 Buckhurst Street, SOUTH MELBOURNE, VIC, AUSTRALIA, 3205",03 9695 5858,03 9686 0644,1
DGH,1987-9-4,Real Estate,No,http://www.desane.com.au,"Suite 4, Jones Bay Wharf, 26-32 Pirrama Road, PYRMONT, NSW, AUSTRALIA, 2009",(02) 9555 9922,(02) 9555 9944,18
DEV,2000-10-3,Energy,No,http://www.devexresources.com.au,"Level 2, 1292 Hay Street, WEST PERTH, WA, AUSTRALIA, 6005",(08) 9322 3990,(08) 9322 5800,16
DVN,1993-11-25,Real Estate,No,http://www.devine.com.au,"Level 2, KSD1, 485 Kingsford Smith Drive, Hamilton, BRISBANE, QLD, AUSTRALIA, 4007",(07) 3608 6300,(07) 3608 6333,15
DXS,2004-10-6,Real Estate,No,https://www.dexus.com,"Level 25, Australia Square, 264-278 George Street, SYDNEY, NSW, AUSTRALIA, 2000",02 9017 1100,02 9017 1110,23
DGO,2007-12-21,Materials,No,http://www.dgogold.com.au,"Level 9, 63 Exhibition Street, MELBOURNE, VIC, AUSTRALIA, 3000",+61 3 9133 6251,-,27
DGR,2003-8-21,Materials,No,http://www.dgrglobal.com.au,"Level 27, 111 Eagle Street, BRISBANE, QLD, AUSTRALIA, 4000",07-3303 0680,07-3303 0681,24
DRX,2005-6-22,Materials,No,http://www.diatreme.com.au,"Unit 8, 61 Holdsworth Street, COORPAROO, QLD, AUSTRALIA, 4151",(07) 3397 2222,-,24
DDR,2011-1-24,Technology Hardware & Equipment,No,https://www.dickerdata.com.au,"230 Captain Cook Drive, KURNELL, NSW, AUSTRALIA, 2231",(02) 9589 8400,(02) 9525 0481,23
DW8,2001-4-4,Retailing,No,http://www.digitalwine.ventures/,"Suite 8H, 325 Pitt Street, SYDNEY, NSW, AUSTRALIA, 2000",02 8002 1991,-,1
DCC,1989-2-6,Software & Services,No,http://www.digitalx.com,"The Blockchain Centre, Suite 1, Level 2, 66 Kings Park Road, WEST PERTH, WA, AUSTRALIA, 6005",0439 503 955,(08) 9322 5230,16
DXB,1993-2-4,"Pharmaceuticals, Biotechnology & Life Sciences",No,http://www.dimerix.com,"425 Smith Street, FITZROY, VIC, AUSTRALIA, 3065",+61 8 9388 8290,+61 8 9388 8256,3
DAF,2011-9-22,Materials,No,http://www.discoveryafrica.com.au,"18 Sangiorgio Court, OSBORNE PARK, WA, AUSTRALIA, 6017",08 6168 8000,08 6165 4067,3
DCX,2007-12-13,Materials,No,http://www.discovexresources.com.au,"Suite 5, 56 Kings Park Road, WEST PERTH, WA, AUSTRALIA, 6005",08 9380 9440,08 9380 9449,16
DUI,1991-12-19,Not Applic,No,http://www.dui.com.au,"Level 20, 101 Collins Street, MELBOURNE, VIC, AUSTRALIA, 3000",(03) 9654 0499,(03) 9654 3499,23
DJW,1995-6-28,Not Applic,No,http://www.djerri.com.au/,"Level 21, 101 Collins Street, MELBOURNE, VIC, AUSTRALIA, 3000",(03) 9650 9911,(03) 9650 9100,19
DCL,2016-11-7,Diversified Financials,No,http://www.domacom.com.au,"Level 6, 99 Queen Street, MELBOURNE, VIC, AUSTRALIA, 3000",03 8609 7077,-,8
DHG,2017-11-16,Media & Entertainment,No,https://shareholders.domain.com.au/group/,"Level 5, 100 Harris Street, PYRMONT, NSW, AUSTRALIA, 2009",+612 9282 2833,+612 9282 2833,23
DME,2013-10-22,Materials,No,http://www.domegoldmines.com.au,"Suite 4, Level 21, 123 Pitt Street, SYDNEY, NSW, AUSTRALIA, 2000",(02) 8203 5620,(02) 9241 2013,19
DMP,2005-5-16,Consumer Services,No,http://www.dominos.com.au,"Level 1, KSD1, 485 Kingsford Smith Drive, HAMILTON, QLD, AUSTRALIA, 4007",(07) 3633 3333,(07) 3633 3399,24
DNA,2004-12-23,Consumer Services,No,http://www.donacointernational.com,"c/- Lumina BPO Pty Ltd, Level 18, 420 George Street, SYDNEY, NSW, AUSTRALIA, 2000",(02) 9106 2149,(02) 9106 2106,4
DFM,2015-10-19,"Food, Beverage & Tobacco",No,http://www.dongfangmodernagriculture.com.au,"PO Box 15863, City East, BRISBANE, QLD, AUSTRALIA, 4002",(02) 8964 8531,-,8
DOR,2017-9-29,Energy,No,http://www.doriemus.co.uk/,"Suite 3B, Princes House, 38 Jermyn Street, AUSTRALIA,",+44 020 7440 0642,-,16
DVL,2013-12-11,"Pharmaceuticals, Biotechnology & Life Sciences",No,http://www.dorsavi.com,"c/- Pitcher Partners, Level 13, 664 Collins Street,, DOCKLANDS, VIC, AUSTRALIA, 3008",1800 367 728,TBA,19
DTZ,2007-12-13,Semiconductors & Semiconductor Equipment,No,http://www.dotz.tech,"Level 14, 330 Collins Street, MELBOURNE, VIC, AUSTRALIA, 3000",+61 414 864 746,-,3
DOW,1990-12-20,Commercial & Professional Services,No,http://www.downergroup.com/,"Level 2, Triniti III, Triniti Business Campus, 39 Delhi Road, NORTH RYDE, NSW, AUSTRALIA, 2113",(02) 9468 9700,(02) 9813 8915,17
DGF,2018-8-28,Not Applic,No,http://www.downergroup.com/,"Downer EDI Limited, Level 2, Triniti III, Triniti Business Campus, 39 Delhi Road, NORTH RYDE, NSW, AUSTRALIA, 2113",02 9468 9700,02 9813 8915,2
DMG,2007-7-31,Materials,No,,"182 Claisebrook Road, PERTH, WA, AUSTRALIA, 6000",08 9215 6300,08 9481 6799,16
DTS,2016-12-20,Software & Services,No,http://www.dragontailsystems.com,"Level 24, 44 St Georges Terrace, PERTH, WA, AUSTRALIA, 6000",08 6211 5099,-,1
DRE,2006-10-31,Materials,No,http://www.dreadnoughtresources.com.au,"SUITE 5 , 16 NICHOLSON ROAD, SUBIACO, WA, AUSTRALIA, 6008",+61 428 824 343,+61 8 8232 8811,16
DA1,2018-6-29,Not Applic,No,,"La Trobe Financial Custody & Securitisat, Level 25, 333 Collins Street, MELBOURNE, VIC, AUSTRALIA, 3000",+61 2 9229 9381,-,33
DAZ,2017-6-19,Not Applic,No,,"., ., ., ., NSW, AUSTRALIA, .",tba,-,33
DAM,2016-8-17,Not Applic,No,,"., ., NSW, AUSTRALIA, 2000",.,-,33
DAS,2020-1-7,Not Applic,No,,"Volkswagen Financial Services Australia, Locked Bag 4002, CHULLORA, NSW, AUSTRALIA, 2190",+61 2 9695 6371,-,33
DRO,2016-6-22,Capital Goods,No,http://www.droneshield.com,"Level 5, 126 Phillip Street, SYDNEY, NSW, AUSTRALIA, 2000",02 8072 1400,02 8072 1440,3
DSE,1985-12-12,Software & Services,No,http://www.dropsuite.com,"14 Emerald Terrace, WEST PERTH, WA, AUSTRALIA, 6005",(08) 9429 2929,(08) 9486 1011,4
DTI,2014-12-9,Technology Hardware & Equipment,No,http://www.dti.com.au/,"31 Affleck Road, PERTH AIRPORT, WA, AUSTRALIA, 6105",(08) 9479 1195,(08) 9479 1190,19
DUB,2000-6-30,Software & Services,No,http://www.dubber.net,"Level 5, 2 Russell Street, MELBOURNE, VIC, AUSTRALIA, 3000",(08) 9388 8290,(08) 9388 8256,3
DUG,,Class Pend,No,https://dug.com/,"76 Kings Park Rd, WEST PERTH, WA, AUSTRALIA, 6005",+61 08 9287 4100,-,16
DKM,2014-8-4,Materials,No,http://www.duketonmining.com.au,"DWCorporate Pty Ltd, Ground Floor, 20 Kings Park Road, WEST PERTH, WA, AUSTRALIA, 6005",(08) 9389 2111,(08) 9389 2199,3
DBF,2018-2-8,"Food, Beverage & Tobacco",No,http://www.duxtonbroadacre.com,"7 Pomona Road, STIRLING, SA, AUSTRALIA, 5152",+61 8 8130 9500,-,18
D2O,2016-9-16,Utilities,No,http://www.duxtonwater.com.au,"7 Pomona Road, STIRLING, SA, AUSTRALIA, 5152",08 8130 9500,-,18
DWS,2006-6-15,Software & Services,No,http://www.dws.com.au,"Level 4, 500 Collins Street, MELBOURNE, VIC, AUSTRALIA, 3000",(03) 9650 9777,(03) 9650 9444,8
DXN,2018-4-11,Software & Services,No,https://dxn.solutions/,"9 Mumford Place, BALCATTA, WA, AUSTRALIA, 6021",1300328239,-,3
DDB,,Class Pend,No,https://dynamicdrillandblast.com.au/,"7 Goongarrie Street,, BAYSWATER, WA, AUSTRALIA, 6053",+61 459 332 740,-,3
E2M,2017-4-19,Materials,No,http://www.e2metals.com.au,"Level 4, 100 Albert Road, SOUTH MELBOURNE, VIC, AUSTRALIA, 3205",03 9692 7222,-,27
EHH,2017-7-3,Household & Personal Products,No,http://www.eaglehealthltd.com,"Level 2, 15-17 Queen Street, MELBOURNE, VIC, AUSTRALIA, 3000",03 8593 7378,-,8
EM2,2018-3-16,Materials,No,http://www.eaglemountain.com.au,"Ground Floor, 22 Stirling Highway, NEDLANDS, WA, AUSTRALIA, 6009",08 9389 6767,-,16
EER,2007-12-19,Energy,No,http://www.eastenergy.com.au,"Level 3, 216 St Georges Terrace, PERTH, WA, AUSTRALIA, 6000",61 8 6188 8181,61 8 6188 8182,1
EFE,2008-5-16,Materials,No,http://www.easterniron.com.au,"Suite 3, Level 1, 80 Chandos Street, ST LEONARDS, NSW, AUSTRALIA, 2065",02 9906 7551,02 9906 5233,8
EAS,2005-8-2,Diversified Financials,No,http://www.eastoninvestments.com.au,"Level 2, 115 Pitt Street, SYDNEY, NSW, AUSTRALIA, 2000",1300 655 695,02 9221 6305,23
EBO,2013-12-6,Health Care Equipment & Services,No,http://www.ebosgroup.com,"108 Wrights Road, AUSTRALIA,",+64 3 338 0999,+64 3 339 5111,20
ECG,2014-11-28,Commercial & Professional Services,No,http://www.ecargo.com,"C/O Amblique Pty Limited, Suite 2, Level 3, 104-112 Commonwealth Street, Surry Hills, SYDNEY, NSW, AUSTRALIA, 2010",+61 402014994,-,23
EPM,2011-2-17,Energy,No,http://www.eclipsemetals.com.au,"Level 3, 1060 Hay Street, WEST PERTH, WA, AUSTRALIA, 6005",08 9480 0420,08 9321 0320,3
ECX,2015-4-22,Diversified Financials,No,http://www.eclipxgroup.com,"Level 32, 1 O'Connell Street, SYDNEY, NSW, AUSTRALIA, 2000",(02) 8973 7118,-,23
ESL,2009-12-1,Real Estate,No,http://bmpcorp.com.au/,"Level 4, 100 Albert Road, SOUTH MELBOURNE, VIC, AUSTRALIA, 3205",396927222,390779233,8
EOF,2019-3-29,"Pharmaceuticals, Biotechnology & Life Sciences",No,http://www.ecofibre.com,"COMPANY MATTERS PTY LIMITED, Level 12, 680 George Street, SYDNEY, NSW, AUSTRALIA, 2000",07 3265 7630,-,24
EGR,2010-10-29,Materials,No,http://www.ecograf.com.au,"Level 1/18 Richardson Street, WEST PERTH, WA, AUSTRALIA, 6005",08 6424 9000,-,25
ECP,2014-8-14,Not Applic,No,http://www.barrackst.com,"Corporate Centre One, Level 12, 2 Corporate Court, BUNDALL, QLD, AUSTRALIA, 4217",(02) 8651 6800,286516899,8
ECS,1986-3-13,"Pharmaceuticals, Biotechnology & Life Sciences",No,https://ecsbotanics.com.au,"Suite 2, Level 1, 1 Altona Street, WEST PERTH, WA, AUSTRALIA, 6005",08 6559 -1792,08 6559 -1792,16
EDE,2006-6-6,Energy,No,http://www.edeninnovations.com,"Level 15, 197 St George's Terrace, PERTH, WA, AUSTRALIA, 6000",(08) 9282 5889,(08) 9282 5866,1
EHX,2013-1-4,Materials,No,http://www.ehrresources.com.au,"Suite 2, Level 1, 1 Altona Street, WEST PERTH, WA, AUSTRALIA, 6005",(08) 6559 1792,(08) 9481 4950,3
EDC,2017-2-28,Diversified Financials,No,http://www.eildonfunds.com,"Suite 4, Level 6, 330 Collins Street, MELBOURNE, VIC, AUSTRALIA, 3000",02 9087 8000,02 9087 8088,17
ECF,2019-12-6,Real Estate,No,http://www.elanorinvestors.com,"Suite 3, Level 38, 259 George Street, SYDNEY, NSW, AUSTRALIA, 2000",+61 (02) 9239 8400,-,8
ENN,2014-7-11,Consumer Services,No,http://www.elanorinvestors.com,"Level 38, 259 George Street, SYDNEY, NSW, AUSTRALIA, 2000",(02) 9239 8400,(02) 9239 8411,17
ERF,2016-11-9,Real Estate,No,http://www.elanorinvestors.com/ERF,"Suite 3, Level 38, 259 George Street, SYDNEY, NSW, AUSTRALIA, 2000",02 9239 8400,02 9239 8411,17
ELD,1981-6-30,"Food, Beverage & Tobacco",No,http://www.elders.com.au,"Level 10, 80 Grenfell Street, ADELAIDE, SA, AUSTRALIA, 5000",-,-,8
EOS,2000-10-23,Capital Goods,No,http://www.eos-aus.com,"Suite 3, Level 12, 75 Elizabeth Street, SYDNEY, NSW, AUSTRALIA, 2000",(02) 9233 5015,(02) 9232 3411,17
E25,2006-11-9,Materials,No,http://www.element25.com.au/,"Unit 2, 11 Ventnor Avenue, WEST PERTH, WA, AUSTRALIA, 6005",(08) 6315 1400,(08) 9389 2199,3
ELT,2009-12-23,Materials,No,http://www.elementos.com.au,"Level 6, 10 Market Street, BRISBANE, QLD, AUSTRALIA, 4000",(07) 3221 7770,(07) 3212 6250,8
EXL,2018-1-8,Household & Personal Products,No,http://elixinolglobal.com/,"Level 12, 680 George Street, SYDNEY, NSW, AUSTRALIA, 2000",+61 240 444 585,+61 240 444 585,17
EXR,2004-7-19,Energy,No,http://www.elixirenergy.net.au,"Level 10, 50 Pirie Street, ADELAIDE, SA, AUSTRALIA, 5000",+61 8 9226 2111,-,4
EAI,2015-9-15,Not Applic,No,http://www.ellerstoncapital.com,"Level 11, 179 Elizabeth Street, SYDNEY, NSW, AUSTRALIA, 2000",02 9021 7797,-,23
EGI,2014-10-20,Not Applic,No,http://www.ellerstoncapital.com/egi,"C/- Ellerston Capital, Level 11, 179 Elizabeth Street, SYDNEY, NSW, AUSTRALIA, 2000",(02) 9021 7797,(02) 9261 0528,23
ELO,2017-6-29,Software & Services,No,http://www.elmotalent.com.au,"Level 12, 680 George Street, SYDNEY, NSW, AUSTRALIA, 2000",02 9375 7975,-,23
ELE,1998-2-25,Materials,No,http://www.nslconsolidated.com,"Suite 3, 17 Foley Street, BALCATTA, WA, AUSTRALIA, 6021",08 6168 8000,08 6168 8039,3
ELS,2017-6-8,Technology Hardware & Equipment,No,http://www.el-sight.com,"Level 7, 330 Collins Street, MELBOURNE, VIC, AUSTRALIA, 3000",03 8689 9997,03 9602 4709,3
EMB,1974-1-1,Capital Goods,No,,"147 - 149 Bakers Road, COBURG, VIC, AUSTRALIA, 3058",(03) 9353 4811,(03) 9353 4855,8
EHL,2006-7-28,Capital Goods,No,http://www.emecogroup.com,"Level 3, 71 Walters Drive, OSBORNE PARK, WA, AUSTRALIA, 6017",08 9420 0222,08 9420 0205,23
EMD,2020-2-12,Health Care Equipment & Services,No,http://www.emeraldclinics.com.au,"Level 1, 50 Angove Street, NORTH PERTH, WA, AUSTRALIA, 6006",-,-,3
EMR,1994-7-22,Materials,No,http://www.emeraldresources.com.au,"1110 Hay St, WEST PERTH, WA, AUSTRALIA, 6005",1300 729 543,1300 729 528,3
EM1,1971-6-9,Media & Entertainment,No,http://www.emergegaming.com.au,"Suite 1, 437 Roberts Road, SUBIACO, WA, AUSTRALIA, 6008",+61 8 6380 2555,+61 8 9381 1122,3
EMT,2010-10-26,Not Applic,No,http://www.westpeakiron.com.au,"Suite 9, 330 Churchill Avenue, SUBIACO, WA, AUSTRALIA, 6008",+61 8 6489 1600,+61 8 6489 1601,3
EMI,2018-5-4,Not Applic,No,,"Emirates NBD, P O Box 777, DUBAI, ., UNITED ARAB EMIRATES, .",97106093009,-,2
EML,2006-1-18,Software & Services,No,http://www.emlpayments.com.au,"Level 12, 333 Ann Street, BRISBANE, QLD, AUSTRALIA, 4000",+61 07 3607 0100,+61 07 3607 0111,23
ERM,2007-12-17,Materials,No,http://www.emmersonresources.com.au,"3 Kimberley Street, WEST LEEDERVILLE, WA, AUSTRALIA, 6007",08 9381 7838,08 9381 5375,1
EMP,1987-6-5,Energy,No,http://www.emperorenergy.com.au,"Level 32, 1 Market Street, SYDNEY, NSW, AUSTRALIA, 2000",292758878,992758878,4
EEG,1984-8-30,Energy,No,http://www.empireenergygroup.net,"Level 19, 20 Bond Street, SYDNEY, NSW, AUSTRALIA, 2000",(02) 9251 1846,(02) 9251 0244,17
ERL,2007-2-1,Materials,No,http://www.resourcesempire.com.au,"159 Stirling Highway, NEDLANDS, WA, AUSTRALIA, 6008",08 9361 3100,08 9361 3154,3
EPD,2007-10-19,Software & Services,No,http://www.empired.com,"Level 7, The Quadrant, 1 William Street, PERTH, WA, AUSTRALIA, 6000",(08) 6333 2200,NA,16
EMU,2008-2-27,Materials,No,http://www.emunl.com.au/,"10 Walker Avenue, WEST PERTH, WA, AUSTRALIA, 6005",(08) 9226 4266,(08) 9481 2523,3
EMV,2018-12-13,Health Care Equipment & Services,No,http://www.emvision.com.au,"BDO (QLD) Pty Ltd, Level 10, 12 creek Street, BRISBANE, QLD, AUSTRALIA, 4000",02 8667 5337,-,22
ENR,2006-3-24,Materials,No,http://www.encounterresources.com.au,"Level 7, 600 Murray Street, WEST PERTH, WA, AUSTRALIA, 6005",(08) 9486 9455,(08) 9486 8366,3
ENB,2006-4-28,Utilities,No,http://www.eneabbagas.com.au,"Ground Floor, 50 Ord Street, WEST PERTH, WA, AUSTRALIA, 6005",08  9467 4220,08 9482 0505,3
